Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2020-05-11,382206,Horse Item Recipes,0,6,6,6,1,5
2020-05-12,382206,Horse Item Recipes,0,21,15,13,3,12
2020-05-13,382206,Horse Item Recipes,0,33,12,12,3,9
2020-05-14,382206,Horse Item Recipes,0,40,7,6,1,6
2020-05-15,382206,Horse Item Recipes,0,45,5,5,0,5
2020-05-16,382206,Horse Item Recipes,0,47,2,2,0,2
2020-05-17,382206,Horse Item Recipes,0,58,11,8,6,5
2020-05-18,382206,Horse Item Recipes,0,61,3,3,1,2
2020-05-19,382206,Horse Item Recipes,0,62,1,1,1,0
2020-05-20,382206,Horse Item Recipes,0,68,6,5,1,5
