Date,Project ID,Name,Points,Historical Download,Daily Download,Daily Unique Download,Daily Twitch App Download,Daily Curse Forge Download
2020-03-29,371186,Standard Materials,0,1,1,1,0,1
2020-03-30,371186,Standard Materials,0,90,89,72,9,80
2020-03-31,371186,Standard Materials,0,135,45,42,8,37
2020-04-01,371186,Standard Materials,0.12,199,64,60,11,53
2020-04-02,371186,Standard Materials,0.14,253,54,46,10,44
2020-04-03,371186,Standard Materials,0.16,299,46,36,19,27
2020-04-04,371186,Standard Materials,0.17,331,32,27,10,22
2020-04-05,371186,Standard Materials,0.18,346,15,15,5,10
2020-04-06,371186,Standard Materials,0.19,357,11,11,3,8
2020-04-07,371186,Standard Materials,0.19,417,60,52,2,58
2020-04-08,371186,Standard Materials,0.21,477,60,52,0,60
2020-04-09,371186,Standard Materials,0.23,553,76,65,6,70
2020-04-10,371186,Standard Materials,0.25,627,74,69,5,69
2020-04-11,371186,Standard Materials,0.28,712,85,73,5,80
2020-04-12,371186,Standard Materials,0.3,766,54,46,8,46
2020-04-13,371186,Standard Materials,0.31,806,40,38,4,36
2020-04-14,371186,Standard Materials,0.33,844,38,36,1,37
2020-04-15,371186,Standard Materials,0.34,895,51,44,5,46
2020-04-16,371186,Standard Materials,0.35,923,28,26,2,26
2020-04-17,371186,Standard Materials,0.36,949,26,24,2,24
2020-04-18,371186,Standard Materials,0,982,33,31,3,30
2020-04-19,371186,Standard Materials,0.41,1009,27,26,3,24
2020-04-20,371186,Standard Materials,0.42,1037,28,27,2,26
2020-04-21,371186,Standard Materials,0.43,1067,30,26,3,27
2020-04-22,371186,Standard Materials,0.44,1098,31,30,1,30
2020-04-23,371186,Standard Materials,0.45,1129,31,29,1,30
2020-04-24,371186,Standard Materials,0.46,1172,43,41,2,41
2020-04-25,371186,Standard Materials,0.58,1211,39,33,0,39
2020-04-26,371186,Standard Materials,0.59,1247,36,33,2,34
2020-04-27,371186,Standard Materials,0.6,1289,42,33,1,41
2020-04-28,371186,Standard Materials,0.62,1329,40,32,1,39
2020-04-29,371186,Standard Materials,0.63,1356,27,23,1,26
2020-04-30,371186,Standard Materials,0.64,1384,28,27,2,26
2020-05-01,371186,Standard Materials,0.71,1422,38,31,1,37
2020-05-02,371186,Standard Materials,0,1452,30,30,1,29
2020-05-03,371186,Standard Materials,0.69,1484,32,24,3,29
2020-05-04,371186,Standard Materials,0.68,1546,62,58,15,47
2020-05-05,371186,Standard Materials,0.69,1581,35,32,3,32
2020-05-06,371186,Standard Materials,0.69,1619,38,36,4,34
2020-05-07,371186,Standard Materials,0.7,1646,27,26,2,25
2020-05-08,371186,Standard Materials,0.71,1676,30,29,1,29
2020-05-09,371186,Standard Materials,0.7,1702,26,23,1,25
2020-05-10,371186,Standard Materials,0.69,1728,26,24,0,26
2020-05-11,371186,Standard Materials,0.68,1790,62,54,12,50
2020-05-12,371186,Standard Materials,0.67,1846,56,46,6,50
2020-05-13,371186,Standard Materials,0.66,1886,40,35,9,31
2020-05-14,371186,Standard Materials,0.66,1921,35,30,4,31
2020-05-15,371186,Standard Materials,0.66,1941,20,18,0,20
2020-05-16,371186,Standard Materials,0.65,1967,26,24,2,24
2020-05-17,371186,Standard Materials,0.65,1995,28,26,0,28
2020-05-18,371186,Standard Materials,0.65,2025,30,22,1,29
2020-05-19,371186,Standard Materials,0.65,2044,19,17,1,18
2020-05-20,371186,Standard Materials,0.65,2092,48,39,2,46
2020-05-21,371186,Standard Materials,0.65,2135,43,33,2,41
2020-05-22,371186,Standard Materials,0.66,2187,52,41,4,48
2020-05-23,371186,Standard Materials,0,2254,67,48,3,64
2020-05-24,371186,Standard Materials,0.75,2305,51,37,0,51
2020-05-25,371186,Standard Materials,0.76,2359,54,41,1,53
2020-05-26,371186,Standard Materials,0.76,2398,39,29,1,38
2020-05-27,371186,Standard Materials,0.76,2464,66,44,0,66
2020-05-28,371186,Standard Materials,0.77,2503,39,31,1,38
2020-05-29,371186,Standard Materials,0.76,2547,44,31,0,44
2020-05-30,371186,Standard Materials,0.76,2611,64,45,0,64
